Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Most.valuable.available.asset,Age.years,Type.of.apartment,No.of.Credits.at.this.Bank,Creidt__Creditworthy,Creidt__Non-Creditworthy,Data
Some Balance,15,Paid Up,Home Related,874,ý100-ý1000,< 1yr,4,1,24,2,1,0.72,0.28,TRUE
Some Balance,18,Paid Up,Home Related,1820,None,< 1yr,2,2,30,2,1,0.802,0.198,TRUE
Some Balance,24,No Problems (in this bank),Home Related,3148,ý100-ý1000,< 1yr,3,3,31,2,More than 1,0.934,0.066,TRUE
Some Balance,36,Paid Up,Home Related,3835,ý100-ý1000,4-7 yrs,2,1,45,2,1,0.936,0.064,TRUE
Some Balance,9,Paid Up,Home Related,3832,ý100-ý1000,4-7 yrs,1,1,64,2,1,0.868,0.132,TRUE
No Account,24,Paid Up,Home Related,5084,ý100-ý1000,4-7 yrs,2,3,42,2,1,0.632,0.368,TRUE
Some Balance,21,Paid Up,New car,2476,ý100-ý1000,4-7 yrs,4,1,46,2,1,0.936,0.064,TRUE
No Account,24,Paid Up,New car,2964,ý100-ý1000,4-7 yrs,4,4,49,3,1,0.686,0.314,TRUE
No Account,12,Paid Up,Used car,1262,ý100-ý1000,4-7 yrs,2,2,49,2,1,0.82,0.18,TRUE
Some Balance,12,Paid Up,Home Related,1542,None,1-4 yrs,2,3,36,2,1,0.91,0.09,TRUE
Some Balance,12,Some Problems,Home Related,409,ý100-ý1000,< 1yr,3,1,42,1,More than 1,0.636,0.364,TRUE
No Account,24,Paid Up,Home Related,3512,< ï¿½1,1-4 yrs,2,3,38,2,More than 1,0.804,0.196,TRUE
No Account,12,Paid Up,Home Related,1498,None,< 1yr,4,3,23,2,1,0.294,0.706,FALSE
No Account,48,Some Problems,Home Related,6416,None,4-7 yrs,4,4,59,1,1,0.202,0.798,FALSE
No Account,12,No Problems (in this bank),Used car,3617,None,4-7 yrs,1,3,28,1,More than 1,0.772,0.228,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1291,None,< 1yr,4,2,35,2,More than 1,0.86,0.14,TRUE
Some Balance,24,Paid Up,Used car,3972,None,1-4 yrs,2,2,25,1,1,0.942,0.058,TRUE
Some Balance,15,Paid Up,Home Related,392,None,< 1yr,4,2,23,1,1,0.78,0.22,TRUE
Some Balance,30,No Problems (in this bank),Home Related,5771,None,1-4 yrs,4,3,25,2,More than 1,0.698,0.302,TRUE
Some Balance,6,No Problems (in this bank),Home Related,1382,None,< 1yr,1,3,28,2,More than 1,0.844,0.156,TRUE
Some Balance,12,Paid Up,Home Related,1297,None,< 1yr,3,1,23,1,1,0.876,0.124,TRUE
Some Balance,12,Paid Up,Home Related,1963,None,1-4 yrs,4,3,31,1,More than 1,0.87,0.13,TRUE
No Account,12,No Problems (in this bank),New car,1804,< ï¿½1,< 1yr,3,2,44,2,1,0.86,0.14,TRUE
Some Balance,18,Paid Up,Home Related,1950,None,1-4 yrs,4,3,34,2,More than 1,0.86,0.14,TRUE
Some Balance,48,No Problems (in this bank),Home Related,12749,ý100-ý1000,1-4 yrs,4,3,37,2,1,0.784,0.216,TRUE
Some Balance,9,Paid Up,Home Related,1236,None,< 1yr,1,1,23,1,1,0.902,0.098,TRUE
No Account,30,Some Problems,Home Related,8072,ý100-ý1000,< 1yr,2,3,25,2,More than 1,0.568,0.432,TRUE
Some Balance,30,No Problems (in this bank),Home Related,2831,None,< 1yr,4,3,33,2,1,0.704,0.296,TRUE
Some Balance,36,Paid Up,Home Related,5742,< ï¿½1,1-4 yrs,2,3,31,2,More than 1,0.768,0.232,TRUE
Some Balance,12,Paid Up,Home Related,2390,ý100-ý1000,4-7 yrs,4,3,50,2,1,0.872,0.128,TRUE
Some Balance,21,Paid Up,Home Related,2923,< ï¿½1,< 1yr,1,3,28,2,1,0.852,0.148,TRUE
No Account,48,Paid Up,Home Related,8487,ý100-ý1000,1-4 yrs,1,3,24,2,1,0.5,0.5,FALSE
Some Balance,24,Paid Up,Home Related,2255,ý100-ý1000,< 1yr,4,2,54,2,1,0.76,0.24,TRUE
Some Balance,18,No Problems (in this bank),Used car,1817,None,< 1yr,4,4,28,2,More than 1,0.872,0.128,TRUE
Some Balance,18,Some Problems,Home Related,1445,ý100-ý1000,1-4 yrs,4,3,49,2,1,0.682,0.318,TRUE
No Account,24,Paid Up,Used car,7721,ý100-ý1000,< 1yr,1,2,30,2,1,0.664,0.336,TRUE
No Account,21,Paid Up,Home Related,3763,ý100-ý1000,1-4 yrs,2,1,24,2,1,0.802,0.198,TRUE
No Account,15,Paid Up,Home Related,1444,ý100-ý1000,< 1yr,4,2,23,2,1,0.39,0.61,FALSE
Some Balance,9,Paid Up,Home Related,2753,< ï¿½1,4-7 yrs,3,3,35,2,1,0.906,0.094,TRUE
No Account,24,Some Problems,Used car,2483,ý100-ý1000,< 1yr,4,1,22,2,1,0.78,0.22,TRUE
Some Balance,6,No Problems (in this bank),Home Related,1299,None,< 1yr,1,1,74,2,More than 1,0.862,0.138,TRUE
Some Balance,10,Paid Up,Home Related,1287,ý100-ý1000,4-7 yrs,4,2,45,2,1,0.762,0.238,TRUE
No Account,18,Some Problems,Home Related,1940,None,< 1yr,3,4,36,3,1,0.252,0.748,FALSE
Some Balance,24,No Problems (in this bank),New car,4679,None,1-4 yrs,3,3,35,2,More than 1,0.95,0.05,TRUE
No Account,18,Paid Up,Used car,2659,ý100-ý1000,< 1yr,4,3,28,2,1,0.704,0.296,TRUE
Some Balance,14,No Problems (in this bank),Home Related,802,None,< 1yr,4,3,27,2,More than 1,0.864,0.136,TRUE
Some Balance,21,Paid Up,Home Related,1572,ý100-ý1000,4-7 yrs,4,1,36,2,1,0.914,0.086,TRUE
Some Balance,6,Some Problems,Home Related,426,None,4-7 yrs,4,3,39,2,1,0.482,0.518,FALSE
No Account,30,Paid Up,New car,3857,None,< 1yr,4,2,40,2,1,0.728,0.272,TRUE
No Account,12,Paid Up,Home Related,685,None,1-4 yrs,2,3,25,2,1,0.424,0.576,FALSE
No Account,24,Paid Up,Home Related,1603,None,4-7 yrs,4,3,55,2,1,0.594,0.406,TRUE
Some Balance,4,Paid Up,Used car,601,None,< 1yr,1,1,23,1,1,0.948,0.052,TRUE
Some Balance,15,No Problems (in this bank),Home Related,1316,ý100-ý1000,< 1yr,2,2,47,2,More than 1,0.784,0.216,TRUE
Some Balance,60,Paid Up,Home Related,10366,None,4-7 yrs,2,2,42,2,1,0.716,0.284,TRUE
Some Balance,18,Paid Up,Home Related,1568,< ï¿½1,< 1yr,3,2,24,1,1,0.766,0.234,TRUE
Some Balance,18,No Problems (in this bank),Home Related,629,ý100-ý1000,4-7 yrs,4,2,32,2,More than 1,0.704,0.296,TRUE
Some Balance,6,Some Problems,Home Related,1750,ý100-ý1000,4-7 yrs,2,2,45,2,1,0.718,0.282,TRUE
Some Balance,24,Paid Up,New car,3488,< ï¿½1,1-4 yrs,3,3,23,2,1,0.972,0.028,TRUE
No Account,15,Paid Up,Home Related,2631,< ï¿½1,< 1yr,3,1,25,2,1,0.58,0.42,TRUE
Some Balance,21,Paid Up,New car,5248,ý100-ý1000,< 1yr,1,3,26,2,1,0.882,0.118,TRUE
No Account,18,No Problems (in this bank),Home Related,6204,None,< 1yr,2,1,44,2,1,0.62,0.38,TRUE
Some Balance,12,Paid Up,Home Related,804,None,4-7 yrs,4,3,38,2,1,0.492,0.508,FALSE
No Account,15,No Problems (in this bank),Used car,3643,None,4-7 yrs,1,2,27,2,More than 1,0.756,0.244,TRUE
Some Balance,10,No Problems (in this bank),Used car,2146,None,< 1yr,1,1,23,1,More than 1,0.926,0.074,TRUE
Some Balance,5,Paid Up,Home Related,3448,None,1-4 yrs,1,1,74,2,1,0.876,0.124,TRUE
Some Balance,15,Paid Up,Used car,2708,None,< 1yr,2,2,27,2,More than 1,0.93,0.07,TRUE
Some Balance,22,Paid Up,Home Related,2675,ý100-ý1000,4-7 yrs,3,3,40,2,1,0.966,0.034,TRUE
No Account,9,Paid Up,Home Related,2118,None,< 1yr,2,1,37,2,1,0.912,0.088,TRUE
Some Balance,15,Some Problems,Home Related,1569,< ï¿½1,4-7 yrs,4,3,34,2,1,0.604,0.396,TRUE
Some Balance,36,No Problems (in this bank),Used car,7678,ý100-ý1000,1-4 yrs,2,3,40,2,More than 1,0.876,0.124,TRUE
Some Balance,12,Some Problems,Home Related,3447,ý100-ý1000,< 1yr,4,1,35,2,1,0.618,0.382,TRUE
Some Balance,15,Paid Up,Home Related,3568,None,4-7 yrs,4,3,54,1,1,0.836,0.164,TRUE
No Account,21,No Problems (in this bank),Home Related,3652,None,1-4 yrs,2,2,27,2,More than 1,0.592,0.408,TRUE
No Account,24,Paid Up,Home Related,3660,None,< 1yr,2,3,28,2,1,0.628,0.372,TRUE
Some Balance,9,Paid Up,Home Related,1126,< ï¿½1,4-7 yrs,2,1,49,2,1,0.796,0.204,TRUE
Some Balance,6,No Problems (in this bank),Home Related,683,None,< 1yr,2,2,29,2,1,0.832,0.168,TRUE
Some Balance,12,Paid Up,Used car,2251,None,< 1yr,1,3,46,2,1,0.93,0.07,TRUE
Some Balance,12,Paid Up,New car,4675,ý100-ý1000,< 1yr,1,3,20,1,1,0.848,0.152,TRUE
No Account,21,No Problems (in this bank),Home Related,2353,None,< 1yr,1,2,47,2,More than 1,0.63,0.37,TRUE
Some Balance,6,Paid Up,Home Related,672,None,< 1yr,1,1,54,2,1,0.89,0.11,TRUE
No Account,6,No Problems (in this bank),Home Related,338,ý100-ý1000,4-7 yrs,4,3,52,2,More than 1,0.824,0.176,TRUE
Some Balance,9,Paid Up,Home Related,2507,ý100-ý1000,4-7 yrs,2,4,51,3,1,0.864,0.136,TRUE
Some Balance,15,No Problems (in this bank),Home Related,1478,None,< 1yr,4,1,33,2,More than 1,0.876,0.124,TRUE
Some Balance,12,No Problems (in this bank),Home Related,3565,ý100-ý1000,< 1yr,2,2,37,2,More than 1,0.818,0.182,TRUE
Some Balance,9,Paid Up,Used car,2301,< ï¿½1,< 1yr,2,2,22,1,1,0.914,0.086,TRUE
Some Balance,6,No Problems (in this bank),Home Related,1743,< ï¿½1,< 1yr,1,1,34,2,More than 1,0.87,0.13,TRUE
Some Balance,18,No Problems (in this bank),Home Related,2320,None,< 1yr,2,1,34,2,More than 1,0.734,0.266,TRUE
Some Balance,24,Paid Up,Home Related,5152,None,1-4 yrs,4,3,25,2,1,0.832,0.168,TRUE
Some Balance,9,No Problems (in this bank),Home Related,3074,ý100-ý1000,< 1yr,1,1,33,2,More than 1,0.908,0.092,TRUE
Some Balance,6,Some Problems,Home Related,783,ý100-ý1000,< 1yr,1,1,26,2,1,0.622,0.378,TRUE
No Account,21,Paid Up,Home Related,2606,None,< 1yr,4,2,28,1,1,0.438,0.562,FALSE
Some Balance,54,Some Problems,New car,9436,ý100-ý1000,< 1yr,2,2,39,2,1,0.852,0.148,TRUE
Some Balance,6,No Problems (in this bank),Home Related,250,ý100-ý1000,< 1yr,2,1,41,2,More than 1,0.938,0.062,TRUE
No Account,6,Paid Up,Home Related,662,None,< 1yr,3,1,41,2,1,0.892,0.108,TRUE
Some Balance,24,Some Problems,Home Related,1559,None,1-4 yrs,4,3,40,2,1,0.626,0.374,TRUE
Some Balance,12,Paid Up,Home Related,3016,None,< 1yr,3,3,24,2,1,0.892,0.108,TRUE
Some Balance,6,Some Problems,Home Related,1204,< ï¿½1,< 1yr,4,4,35,1,1,0.51,0.49,TRUE
Some Balance,10,Paid Up,Home Related,1597,ý100-ý1000,< 1yr,3,4,40,1,1,0.818,0.182,TRUE
Some Balance,12,Paid Up,Home Related,2073,< ï¿½1,< 1yr,4,1,28,2,1,0.622,0.378,TRUE
No Account,10,No Problems (in this bank),Used car,2132,ý100-ý1000,< 1yr,2,1,27,1,More than 1,0.744,0.256,TRUE
Some Balance,10,Paid Up,Home Related,1418,< ï¿½1,< 1yr,3,1,35,1,1,0.776,0.224,TRUE
Some Balance,6,No Problems (in this bank),Home Related,1343,None,4-7 yrs,1,1,46,2,More than 1,0.908,0.092,TRUE
Some Balance,18,Paid Up,Home Related,2662,ý100-ý1000,1-4 yrs,4,2,32,2,1,0.776,0.224,TRUE
Some Balance,18,No Problems (in this bank),Home Related,6070,None,4-7 yrs,3,3,33,2,More than 1,0.762,0.238,TRUE
Some Balance,6,No Problems (in this bank),Home Related,1554,None,1-4 yrs,1,3,24,1,More than 1,0.89,0.11,TRUE
No Account,9,No Problems (in this bank),Home Related,1288,< ï¿½1,4-7 yrs,3,1,48,2,More than 1,0.9,0.1,TRUE
No Account,10,No Problems (in this bank),Home Related,1038,None,1-4 yrs,4,2,49,2,More than 1,0.908,0.092,TRUE
Some Balance,10,Paid Up,New car,2848,< ï¿½1,< 1yr,1,1,32,2,1,0.884,0.116,TRUE
Some Balance,12,Paid Up,New car,1413,ý100-ý1000,1-4 yrs,3,2,55,2,1,0.944,0.056,TRUE
Some Balance,18,No Problems (in this bank),New car,3229,ý100-ý1000,< 1yr,2,4,38,2,1,0.924,0.076,TRUE
Some Balance,9,Paid Up,Home Related,3577,< ï¿½1,< 1yr,1,1,26,1,1,0.854,0.146,TRUE
Some Balance,10,Paid Up,Home Related,1924,None,< 1yr,1,2,38,2,1,0.902,0.098,TRUE
Some Balance,10,Paid Up,Home Related,727,ý100-ý1000,4-7 yrs,4,4,46,3,1,0.626,0.374,TRUE
Some Balance,10,No Problems (in this bank),Home Related,781,None,4-7 yrs,4,4,63,3,More than 1,0.77,0.23,TRUE
Some Balance,10,No Problems (in this bank),Used car,2069,ý100-ý1000,< 1yr,2,3,26,2,More than 1,0.9,0.1,TRUE
Some Balance,24,Paid Up,Home Related,1525,ý100-ý1000,1-4 yrs,4,3,34,2,1,0.98,0.02,TRUE
Some Balance,48,No Problems (in this bank),Home Related,7629,ý100-ý1000,4-7 yrs,4,3,46,2,More than 1,0.758,0.242,TRUE
No Account,12,No Problems (in this bank),Home Related,3499,None,< 1yr,3,1,29,2,More than 1,0.766,0.234,TRUE
No Account,24,Paid Up,New car,2924,None,< 1yr,3,4,63,2,1,0.708,0.292,TRUE
Some Balance,10,No Problems (in this bank),Home Related,1231,None,4-7 yrs,3,1,32,2,More than 1,0.902,0.098,TRUE
Some Balance,15,No Problems (in this bank),Home Related,5045,ý100-ý1000,4-7 yrs,1,3,59,2,1,0.706,0.294,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1255,None,4-7 yrs,4,1,61,2,More than 1,0.92,0.08,TRUE
Some Balance,12,Some Problems,Used car,2759,None,4-7 yrs,2,2,34,2,More than 1,0.724,0.276,TRUE
No Account,15,Paid Up,Home Related,1403,None,< 1yr,2,3,28,1,1,0.368,0.632,FALSE
No Account,24,Paid Up,Home Related,6568,None,< 1yr,2,3,21,2,1,0.424,0.576,FALSE
No Account,24,No Problems (in this bank),New car,7758,ý100-ý1000,4-7 yrs,2,4,29,1,1,0.62,0.38,TRUE
Some Balance,21,No Problems (in this bank),Used car,1591,< ï¿½1,1-4 yrs,4,1,34,2,More than 1,0.874,0.126,TRUE
No Account,27,Paid Up,Home Related,3416,None,< 1yr,3,3,27,2,1,0.52,0.48,TRUE
No Account,15,Paid Up,Home Related,1514,< ï¿½1,< 1yr,4,1,22,2,1,0.464,0.536,FALSE
Some Balance,30,No Problems (in this bank),Home Related,6742,ý100-ý1000,1-4 yrs,2,2,36,2,More than 1,0.76,0.24,TRUE
No Account,9,Paid Up,Home Related,458,None,< 1yr,4,1,24,2,1,0.834,0.166,TRUE
No Account,9,Paid Up,Used car,918,None,< 1yr,4,2,30,2,1,0.876,0.124,TRUE
No Account,24,Paid Up,New car,2812,ý100-ý1000,4-7 yrs,2,1,26,1,1,0.78,0.22,TRUE
Some Balance,12,No Problems (in this bank),Home Related,1480,ý100-ý1000,< 1yr,2,4,66,3,More than 1,0.778,0.222,TRUE
No Account,9,Paid Up,Home Related,1206,None,4-7 yrs,4,1,25,2,1,0.784,0.216,TRUE
Some Balance,12,Paid Up,Home Related,707,None,< 1yr,4,1,30,2,More than 1,0.882,0.118,TRUE
No Account,12,Paid Up,Home Related,6078,None,1-4 yrs,2,3,32,2,1,0.542,0.458,TRUE
No Account,27,Paid Up,Home Related,2528,None,< 1yr,4,2,32,2,1,0.518,0.482,TRUE
No Account,6,Paid Up,New car,1352,ý100-ý1000,< 1yr,1,2,23,1,1,0.766,0.234,TRUE
Some Balance,24,Paid Up,Home Related,3181,None,< 1yr,4,2,26,2,1,0.886,0.114,TRUE
No Account,48,Paid Up,Home Related,5381,ý100-ý1000,< 1yr,3,4,40,3,1,0.624,0.376,TRUE
No Account,18,Paid Up,Home Related,1913,ý100-ý1000,< 1yr,3,1,36,2,1,0.564,0.436,TRUE
Some Balance,12,No Problems (in this bank),Home Related,976,ý100-ý1000,4-7 yrs,4,3,35,2,More than 1,0.88,0.12,TRUE
Some Balance,24,No Problems (in this bank),Home Related,2375,ý100-ý1000,< 1yr,4,3,44,2,More than 1,0.768,0.232,TRUE
Some Balance,12,No Problems (in this bank),Home Related,522,ý100-ý1000,4-7 yrs,4,2,42,2,More than 1,0.78,0.22,TRUE
Some Balance,18,No Problems (in this bank),Home Related,1169,ý100-ý1000,< 1yr,4,2,29,2,More than 1,0.732,0.268,TRUE
No Account,15,No Problems (in this bank),Used car,1478,None,4-7 yrs,4,3,44,2,More than 1,0.694,0.306,TRUE
Some Balance,12,Paid Up,Home Related,776,None,< 1yr,4,1,28,2,1,0.832,0.168,TRUE
No Account,16,No Problems (in this bank),Home Related,1175,None,< 1yr,2,3,68,3,More than 1,0.588,0.412,TRUE
Some Balance,12,Paid Up,Home Related,2133,ý100-ý1000,4-7 yrs,4,4,52,3,1,0.89,0.11,TRUE
Some Balance,30,No Problems (in this bank),Home Related,4530,None,1-4 yrs,4,3,26,1,1,0.726,0.274,TRUE
No Account,18,No Problems (in this bank),Home Related,1887,ý100-ý1000,< 1yr,4,1,28,2,More than 1,0.478,0.522,FALSE
Some Balance,12,No Problems (in this bank),Home Related,1264,ý100-ý1000,4-7 yrs,4,4,57,1,1,0.844,0.156,TRUE
Some Balance,15,No Problems (in this bank),Home Related,1532,< ï¿½1,< 1yr,4,3,31,2,1,0.708,0.292,TRUE
Some Balance,6,No Problems (in this bank),Home Related,935,None,< 1yr,3,1,24,2,1,0.936,0.064,TRUE
No Account,27,No Problems (in this bank),Home Related,2442,None,4-7 yrs,4,3,43,2,More than 1,0.546,0.454,TRUE
No Account,39,No Problems (in this bank),Used car,14179,ý100-ý1000,1-4 yrs,4,2,30,2,More than 1,0.458,0.542,FALSE
Some Balance,12,No Problems (in this bank),Home Related,618,None,4-7 yrs,4,1,56,2,1,0.778,0.222,TRUE
Some Balance,12,Paid Up,Used car,1574,None,< 1yr,4,1,50,2,1,0.942,0.058,TRUE
Some Balance,36,Paid Up,New car,4686,None,< 1yr,2,4,32,3,1,0.906,0.094,TRUE
No Account,9,Paid Up,Home Related,790,ý100-ý1000,< 1yr,4,1,66,2,1,0.79,0.21,TRUE
No Account,14,Paid Up,Home Related,3973,None,< 1yr,1,4,22,3,1,0.594,0.406,TRUE
No Account,20,No Problems (in this bank),Home Related,2629,None,< 1yr,2,3,29,2,More than 1,0.424,0.576,FALSE
No Account,18,Paid Up,Home Related,1941,ý100-ý1000,< 1yr,4,2,35,2,1,0.582,0.418,TRUE
No Account,24,No Problems (in this bank),Used car,2333,ý100-ý1000,< 1yr,4,2,29,2,1,0.702,0.298,TRUE
Some Balance,12,Paid Up,New car,2445,ý100-ý1000,< 1yr,2,3,26,1,1,0.892,0.108,TRUE
No Account,20,Paid Up,New car,6468,ý100-ý1000,< 1yr,1,1,60,2,1,0.694,0.306,TRUE
Some Balance,15,Paid Up,New car,3812,< ï¿½1,< 1yr,1,3,23,2,1,0.918,0.082,TRUE
No Account,12,Paid Up,New car,2028,ý100-ý1000,< 1yr,4,3,30,2,1,0.78,0.22,TRUE
Some Balance,15,Paid Up,Home Related,5324,ý100-ý1000,4-7 yrs,1,4,35,3,1,0.822,0.178,TRUE
Some Balance,12,Paid Up,Home Related,1393,None,4-7 yrs,4,2,47,2,More than 1,0.826,0.174,TRUE
Some Balance,36,Paid Up,Home Related,7409,ý100-ý1000,4-7 yrs,3,2,37,2,More than 1,0.814,0.186,TRUE
Some Balance,15,Paid Up,Used car,2186,ý100-ý1000,1-4 yrs,1,1,33,1,1,0.938,0.062,TRUE
Some Balance,18,Paid Up,Used car,3422,None,4-7 yrs,4,2,47,2,More than 1,0.904,0.096,TRUE
No Account,18,Paid Up,Home Related,3872,None,< 1yr,2,3,67,2,1,0.56,0.44,TRUE
